symbol,name,group,subgroup,summary,reference_url,analysis_date
00986D.TWO,主動復華金融債息,主動型 ETF,債券主動型,由復華專業團隊主動操盤，鎖定全球具收益潛力之金融債。,https://www.fhtrust.com.tw/,2026-05-10
00987A.TW,主動台新優勢成長,主動型 ETF,台股主動選股,主動式策略選股，鎖定台股中具備長期優勢的成長企業。,https://www.tsit.com.tw/,2026-05-10
00987B.TWO,野村10+澳洲公債,債券市場,非美公債,鎖定 10 年期以上澳洲政府公債，分散單一貨幣風險。,https://www.nomurafunds.com.tw/,2026-05-10
00988A.TW,主動統一全球創新,主動型 ETF,全球主動選股,鎖定全球最具創新力之科技與消費龍頭，主動靈活配置。,https://www.upro.com.tw/,2026-05-10
00988B.TWO,玉山嚴選非投債,債券市場,非投資等級債,透過信用過濾篩選風險相對可控的高殖利率債券。,https://www.esunbank.com.tw/,2026-05-10
00989A.TW,主動摩根美國科技,主動型 ETF,美股主動選股,由摩根（J.P. Morgan）團隊操作，鎖定美國科技成長股。,https://www.jpmorgan.com/tw/am/,2026-05-10
00989B.TWO,台新美國非投等債,債券市場,美國非投等債,聚焦美國企業發行之高收益債券，追求息收增長。,https://www.tsit.com.tw/,2026-05-10
00990A.TW,主動元大AI新經濟,主動型 ETF,全球 AI 主題,鎖定 AI 軟硬體及應用端企業，經理人主動挖掘新經濟機會。,https://www.yuantafunds.com/,2026-05-10
00991A.TW,主動復華未來50,主動型 ETF,台股主動選股,鎖定台股未來 50 檔最具發展潛力之企業進行主動配置。,https://www.fhtrust.com.tw/,2026-05-10
00992A.TW,主動群益科技創新,主動型 ETF,台股科技主動型,專注於台灣科技產業的選股，透過主動管理獲取超額回報。,https://www.capitalfund.com.tw/,2026-05-10
00993A.TW,主動安聯台灣,主動型 ETF,台股主動選股,安聯明星團隊之旗艦級主動 ETF，鎖定台股全產業機會。,https://www.allianzgi.com.tw/,2026-05-10
00994A.TW,主動第一金台股優,主動型 ETF,台股主動選股,第一金團隊操作，鎖定台股優質價值與成長標的。,https://www.fsitc.com.tw/,2026-05-10
00995A.TW,主動中信台灣卓越,主動型 ETF,台股主動選股,選股邏輯聚焦卓越獲利能力與長期競爭優勢之台股。,https://www.ctbcbank.com/,2026-05-10
00996A.TW,主動兆豐台灣豐收,主動型 ETF,台股主動選股,結合高息與成長兩大主軸，由經理人靈活調整配置。,https://www.megafunds.com.tw/,2026-05-10
00997A.TW,主動群益美國增長,主動型 ETF,美股主動選股,鎖定美國市場中具備高度營收成長動能之領先企業。,https://www.capitalfund.com.tw/,2026-05-10
00998A.TWO,主動復華金融股息,主動型 ETF,台股金融主動型,專注於台灣金融業的息收與估值修復機會。,https://www.fhtrust.com.tw/,2026-05-10
1101.TW,台泥,基礎材料,水泥工業,台灣水泥龍頭，積極轉型能源產業（儲能、電池），具代表性。,https://www.taiwancement.com/,2026-05-10
1102.TW,亞泥,基礎材料,水泥工業,亞洲水泥龍頭之一，獲利穩健，亦跨足電力與航運。,https://www.acc.com.tw/,2026-05-10
1103.TW,嘉泥,基礎材料,水泥工業,除水泥本業外，近年積極轉型旅宿與資產開發。,https://www.chiahsin.com.tw/,2026-05-10
1104.TW,環泥,基礎材料,水泥工業,專注於預拌混凝土與石膏板，是建築供應鏈的重要一環。,https://www.ucctw.com/,2026-05-10
1108.TW,幸福,基礎材料,水泥工業,主要經營水泥與爐石粉生產，供應國內建設需求。,http://www.luckycement.com.tw/,2026-05-10
1109.TW,信大,基礎材料,水泥工業,台灣中小型水泥廠，在中國江蘇地區有產能布局。,http://www.scement.com.tw/,2026-05-10
1110.TW,東泥,基礎材料,水泥工業,高雄在地水泥企業，專注於南部市場。,http://www.tnc.com.tw/,2026-05-10
1201.TW,味全,非必需消費,食品工業,台灣老牌食品廠，主打乳品、果汁及調味醬料。,https://www.weichuan.com.tw/,2026-05-10
1203.TW,味王,非必需消費,食品工業,以味精與速食麵聞名，資產價值高且經營穩健。,https://www.vewong.com/,2026-05-10
1210.TW,大成,非必需消費,食品工業,台灣農畜龍頭，涵蓋飼料、肉品加工及餐飲連鎖。,https://www.dachan.com/,2026-05-10
1213.TW,大飲,非必需消費,食品工業,以「蘋果西打」聞名，近期因食安與經營面臨挑戰。,http://www.applesidra.com.tw/,2026-05-10
1215.TW,卜蜂,非必需消費,食品工業,台灣主要家禽與肉品供應商，受惠於肉價與需求穩定。,https://www.cptw.com.tw/,2026-05-10
1216.TW,統一,非必需消費,食品工業,台灣食品龍頭，超商（統一超）母公司，抗通蓬之生活選股。,https://www.uni-president.com.tw/,2026-05-10
1217.TW,愛之味,非必需消費,食品工業,主打健康罐頭與飲料，如燕麥乳、八寶粥。,https://www.agv.com.tw/,2026-05-10
1218.TW,泰山,非必需消費,食品工業,主要經營食用油、飲品，曾因經營權變動受市場關注。,https://www.taisun.com.tw/,2026-05-10
1219.TW,福壽,非必需消費,食品工業,台灣老牌飼料與油脂大廠，積極發展寵物食品。,https://www.fwusow.com.tw/,2026-05-10
1220.TW,台榮,非必需消費,食品工業,專注於玉米澱粉與果糖生產，供應國內食品廠。,http://www.tairoun.com.tw/,2026-05-10
1225.TW,福懋油,非必需消費,食品工業,台灣油脂大廠，以大豆壓榨與飼料生產為主。,http://www.fmo.com.tw/,2026-05-10
1227.TW,佳格,非必需消費,食品工業,台灣穀物與營養保健龍頭（桂格、天地合補）。,https://www.sfworldwide.com/,2026-05-10
1229.TW,聯華,非必需消費,食品工業,控股型公司，跨足麵粉本業與工業氣體（聯華林德）。,https://www.lhic.com.tw/,2026-05-10
1231.TW,聯華食,非必需消費,食品工業,零食（可樂果、萬歲牌）與超商鮮食供應大廠。,https://www.lianhwa.com.tw/,2026-05-10
1232.TW,大統益,非必需消費,食品工業,台灣最大食用油生產商，獲利與配息極其穩定。,http://www.ttos.com.tw/,2026-05-10
1233.TW,天仁,非必需消費,食品工業,台灣茶葉領導品牌，結合茶葉銷售與餐飲服務。,https://www.tenren.com.tw/,2026-05-10
1234.TW,黑松,非必需消費,食品工業,台灣飲品龍頭，資產雄厚（微風廣場土地），經營穩健。,https://www.heysong.com.tw/,2026-05-10
1235.TW,興泰,非必需消費,食品工業,經營飼料與油脂相關業務，資產題材較受市場關注。,http://www.shintay.com/,2026-05-10
1236.TW,宏亞,非必需消費,食品工業,以「巧克力共和國」、「七七乳加」聞名的零食大廠。,https://www.hunya.com.tw/,2026-05-10
1240.TWO,茂生農經,非必需消費,食品工業,提供禽畜飼料及蛋品，並跨足畜牧場經營。,https://www.mouson.com.tw/,2026-05-10
1256.TW,鮮活果汁-KY,非必需消費,食品工業,鎖定中國手搖飲市場，提供濃縮果汁與果粒等原物料。,http://www.sunjuice.com.cn/,2026-05-10
1259.TWO,安心,非必需消費,餐飲服務,摩斯漢堡（MOS Burger）台灣營運商，具穩定品牌忠誠度。,https://www.mos.com.tw/,2026-05-10
1264.TWO,德麥,非必需消費,食品原物料,台灣最大烘焙原料供應商，代理全球知名品牌。,https://www.tehmag.com.tw/,2026-05-10
1268.TWO,漢來美食,非必需消費,餐飲服務,漢來海港自助餐與名人坊母公司，具強大品牌競爭力。,https://www.hilai-foods.com/,2026-05-10
1294.TWO,漢田生技,非必需消費,保健食品,專業液態軟包包裝代工，生產各種口服保健品。,http://www.hentien.com/,2026-05-10
1295.TWO,生合,非必需消費,生技食品,專精於乳酸菌種研發與生產，應用於食品與畜牧。,https://www.synbiotech.com.tw/,2026-05-10
1301.TW,台塑,基礎材料,塑膠工業,台塑集團核心，主要生產 PVC、液鹼及聚烯烴產品。,https://www.fpc.com.tw/,2026-05-10
1303.TW,南亞,基礎材料,塑膠工業,全球塑膠加工領導者，亦跨足電子材料與印刷電路板。,https://www.npc.com.tw/,2026-05-10
1304.TW,台聚,基礎材料,塑膠工業,主攻聚乙烯（PE）及乙烯醋酸乙烯酯（EVA）生產。,http://www.usig.com.tw/,2026-05-10
1305.TW,華夏,基礎材料,塑膠工業,為 PVC 垂直整合大廠，主要應用於建築及包裝材料。,http://www.cgpc.com.tw/,2026-05-10
1307.TW,三芳,基礎材料,塑膠工業,全球人造皮革龍頭，為 Nike、Adidas 等鞋廠供應商。,https://www.sanfang.com/,2026-05-10
1308.TW,亞聚,基礎材料,塑膠工業,主要生產 LDPE 與 EVA，後者應用於光電與鞋材。,http://www.apc.com.tw/,2026-05-10
1309.TW,台達化,基礎材料,塑膠工業,主攻苯乙烯系列（ABS、GPS），應用於家電及包裝。,http://www.ttc.com.tw/,2026-05-10
1310.TW,台苯,基礎材料,塑膠工業,生產苯乙烯單體 (SM)，為下游塑膠製品之關鍵原料。,http://www.tsmc.com.tw/,2026-05-10
1312.TW,國喬,基礎材料,塑膠工業,專業苯乙烯與 ABS 廠，為台灣化學工業鏈重要節點。,http://www.gpcl.com.tw/,2026-05-10
1313.TW,聯成,基礎材料,塑膠工業,全球最大可塑劑 (PA/DOP) 生產商，具規模成本優勢。,http://www.upc.com.tw/,2026-05-10
1314.TW,中石化,基礎材料,塑膠工業,台灣唯一 CPL 及 AN 生產商，為人造纖維上游原料。,https://www.cpdc.com.tw/,2026-05-10
1315.TW,達新,基礎材料,塑膠工業,以雨衣聞名，現發展精密塑膠加工及資產開發。,https://www.daxin.com.tw/,2026-05-10
1316.TW,上曜,資產開發,建設事業,原為塑膠廠，現成功轉型為台南地區高端建案建商。,http://www.shangyau.com.tw/,2026-05-10
1319.TW,東陽,汽車相關,售後維修 (AM),全球汽車保險桿龍頭，主要市場為歐美維修件市場。,https://www.tongyang.com.tw/,2026-05-10
1321.TW,大洋,基礎材料,塑膠工業,專注於 PVC 加工及人造皮革，擁有大量北市土地資源。,http://www.ocean.com.tw/,2026-05-10
1323.TW,永裕,基礎材料,塑膠工業,生產化妝品與清潔用品之高端塑膠容器，客戶涵蓋全球。,http://www.yy-pack.com/,2026-05-10
1324.TW,地球,基礎材料,塑膠工業,專業膠帶廠，產品應用於工業、電子及文具市場。,http://www.globe.com.tw/,2026-05-10
1325.TW,恆大,基礎材料,塑膠工業,專精於不織布，為台灣口罩地圖與過濾耗材之主力。,http://www.hendar.com.tw/,2026-05-10
1326.TW,台化,基礎材料,塑膠工業,跨足石化、塑膠與化學纖維，為台塑集團重要成員。,https://www.fcc.com.tw/,2026-05-10
1336.TWO,台翰,基礎材料,塑膠工業,專注於印表機及事務機之模具開發與塑膠射出。,http://www.taihan.com.tw/,2026-05-10
1337.TW,再生-KY,基礎材料,塑膠工業,利用回收塑膠生產 EVA 發泡片材，產品應用於鞋材。,http://www.f-js.com/,2026-05-10
1338.TW,廣華-KY,汽車相關,汽車內裝,專業汽車內飾件廠，客戶涵蓋日系、歐美大型車廠。,http://www.gh-auto.com/,2026-05-10
1339.TW,昭輝,汽車相關,售後維修 (AM),生產汽車保險桿及水箱護罩，主要外銷北美市場。,http://www.sh-shao.com.tw/,2026-05-10
1340.TW,勝悅-KY,基礎材料,塑膠工業,專精於底材發泡技術，為知名運動鞋品牌供應商。,http://www.sheng-yue.com/,2026-05-10
1341.TW,富林-KY,基礎材料,塑膠工業,生產環保型 PVC 皮革，主要應用於沙發及汽車內飾。,http://www.fulin.com.vn/,2026-05-10
1342.TW,八貫,基礎材料,功能性面料,專精於 TPU 塗層織物，產品應用於醫療、戶外及航空。,https://www.eclat.com.tw/,2026-05-10
1402.TW,遠東新,基礎材料,紡織纖維,遠東集團旗艦，全球聚酯領導廠商，具備綠色回收技術。,https://www.fenc.com/,2026-05-10
1409.TW,新纖,基礎材料,紡織纖維,專業聚酯粒及纖維廠，亦跨足光電薄膜與電子材料。,http://www.shinkong.com.tw/,2026-05-10
1410.TW,南染,基礎材料,紡織纖維,老牌染整廠，近年積極活化土地資產及電子商務。,http://www.nyf.com.tw/,2026-05-10
1413.TW,宏洲,基礎材料,紡織纖維,主要從事聚酯纖維及加工絲生產，轉型開發精緻產品。,http://www.luckytex.com.tw/,2026-05-10
1414.TW,東和,基礎材料,紡織纖維,專業紡紗大廠，生產精梳棉紗及各類混紡紗線。,https://www.tungho.com.tw/,2026-05-10
1416.TW,廣豐,非必需消費,居家生活,原為毛巾大廠，現轉型為資產開發及經營桃園廣豐新天地商場。,http://www.kfm.com.tw/,2026-05-10
1417.TW,嘉裕,非必需消費,成衣服飾,台灣西服領導品牌，亦跨足軍服供應及餐飲代理。,https://www.carnival.com.tw/,2026-05-10
1418.TW,東華,基礎材料,紡織纖維,專業生產壓克力纖維，產品應用於毛毯、毛衣及人造毛皮。,http://www.thf.com.tw/,2026-05-10
1419.TW,新紡,基礎材料,紡織纖維,吳家核心企業，經營機能布料研發並持有大量北市精華區土地。,https://www.skit.com.tw/,2026-05-10
1423.TW,利華,基礎材料,紡織纖維,台灣唯一專業羊毛加工廠，生產羊毛條與防縮羊毛。,http://www.rewool.com.tw/,2026-05-10
1432.TW,大魯閣,服務業,休閒運動,原為紡織廠，轉型經營棒壘球打擊場、運動設施與購物中心。,https://www.trk.com.tw/,2026-05-10
1434.TW,福懋,基礎材料,紡織纖維,台塑集團成員，全球機能性布料龍頭，跨足智慧織物與輪胎簾布。,https://www.ftc.com.tw/,2026-05-10
1435.TW,中福,資產開發,倉儲租賃,老牌紡織轉型，主要業務為廠房租賃與土地開發。,http://www.chunghu.com.tw/,2026-05-10
1436.TW,華友聯,資產開發,建設事業,原為紡織染整，現成功轉型為深耕高雄與台南市場的建商。,https://www.hyl.com.tw/,2026-05-10
1437.TW,勤益控,資產開發,商辦租賃,老牌紡織廠轉型控股公司，經營勤益商辦租賃及資產管理。,https://www.gmt.com.tw/,2026-05-10
1438.TW,三地開發,資產開發,建設事業,原名三洋紡織，經經營權變動後轉型為綜合地產開發商。,https://www.sandigroup.com.tw/,2026-05-10
1439.TW,雋揚,資產開發,建設事業,原為中和羊毛，轉型後專注於雙北地區的精緻住宅開發。,http://www.jydevelopment.com.tw/,2026-05-10
1440.TW,南紡,基礎材料,紡織纖維,台灣紡紗與聚酯纖維龍頭，並與統一集團共同經營南紡購物中心。,https://www.tainanspin.com.tw/,2026-05-10
1441.TW,大東,基礎材料,紡織纖維,專注於高端環保紗線及特殊混紡產品開發。,https://www.grandtex.com.tw/,2026-05-10
1442.TW,名軒,資產開發,建設事業,麗寶集團旗下建商，轉型後專注於大型造鎮計畫。,https://www.msh.com.tw/,2026-05-10
1443.TW,立益物流,工商服務,物流倉儲,原為紡織廠，利用土地資產發展智慧倉儲與跨境物流服務。,http://www.liyih.com.tw/,2026-05-10
1444.TW,力麗,基礎材料,紡織纖維,聚酯加工絲大廠，開發環保回收纖維並供應電子產業織材。,http://www.lealea.com.tw/,2026-05-10
1445.TW,大宇,基礎材料,紡織纖維,專精於特殊加工絲與針織布料生產，供應運動服飾市場。,http://www.greatbell.com.tw/,2026-05-10
1446.TW,宏和,基礎材料,紡織纖維,生產各類絲綢感布料，同時擁有土地資產開發潛力。,http://www.honmyue.com.tw/,2026-05-10
1447.TW,力鵬,基礎材料,紡織纖維,全球尼龍纖維領導廠商，垂直整合化學與紡織鏈。,http://www.lealea.com.tw/,2026-05-10
1449.TW,佳和,基礎材料,紡織纖維,專精於羊毛與高科技功能布料，供應汽車內飾與軍警服裝。,https://www.chiahodesign.com/,2026-05-10
1451.TW,年興,基礎材料,紡織纖維,全牛仔布及成衣整合龍頭，為 Levi's 等品牌長期供應商。,https://www.nienhsing.com.tw/,2026-05-10
1452.TW,宏益,基礎材料,紡織纖維,專攻高階聚酯加工絲，深耕細丹尼與複合功能絲線。,https://www.hungyi.com.tw/,2026-05-10
1453.TW,大將,資產開發,建設事業,原為老牌紡織廠，現主要業務為住宅開發與商場經營。,http://www.grandgeneral.com.tw/,2026-05-10
1454.TW,台富,基礎材料,紡織纖維,主要經營圓編及經編針織布料，外銷國際運動品牌。,http://www.tai-fu.com.tw/,2026-05-10
1455.TW,集盛,基礎材料,紡織纖維,生產尼龍粒與加工絲，近年積極研發環保廢網回收技術。,https://www.zig-sheng.com/,2026-05-10
1456.TW,怡華,資產開發,建設事業,原為毛紡織大廠，現已成功轉型為地區性地產建商。,http://www.ehua.com.tw/,2026-05-10
1457.TW,宜進,基礎材料,紡織纖維,轉型控股公司，經營聚酯加工絲並大規模跨足商用不動產投資。,http://www.e-jin.com.tw/,2026-05-10
1459.TW,聯發,基礎材料,紡織纖維,專業生產聚酯加工絲，供應終端家飾與運動服市場。,http://www.lenfar.com.tw/,2026-05-10
1460.TW,宏遠,基礎材料,紡織纖維,垂直整合機能布料大廠，為 Nike 及 Patagonia 重要供應夥伴。,https://www.everest.com.tw/,2026-05-10
1463.TW,強盛新,資產開發,建設事業,原名強盛染整，轉型後專注於危老重建與都市更新建案。,http://www.johnson-silk.com.tw/,2026-05-10
1464.TW,得力,基礎材料,紡織纖維,專業機能織造廠，核心產品為超細纖維與彈性布料。,http://www.delicacy.com.tw/,2026-05-10
1465.TW,偉全,基礎材料,紡織纖維,專業經編布料生產商，產品廣泛應用於工業及服飾。,http://www.waytex.com.tw/,2026-05-10
1466.TW,聚隆,基礎材料,紡織纖維,專精於尼龍加工絲，並成功開發超細纖維除塵布系列。,https://www.acelontw.com/,2026-05-10
1467.TW,南緯,基礎材料,紡織纖維,跨國垂直整合服務商，並積極布局智慧感測衣技術。,http://www.texray.com/,2026-05-10
1468.TW,昶和,基礎材料,紡織纖維,主要經營梭織布開發與貿易，供應歐美休閒服飾品牌。,http://www.charnghuu.com.tw/,2026-05-10
1470.TW,大統新創,基礎材料,紡織纖維,專精於針織彈性布料，應用於高端內衣及壓縮運動服。,http://www.tri-ocean.com.tw/,2026-05-10
1471.TW,首利,科技電子,電源供應器,原名首利紡織，現已完全轉型為 PC 電源供應器與機殼廠。,http://www.soly-tech.com/,2026-05-10
1472.TW,三洋實業,基礎材料,紡織纖維,生產聚丙烯 (PP) 纖維，具備疏水與輕盈特性，用於機能衣。,http://www.san-yang.com.tw/,2026-05-10
1473.TW,台南,非必需消費,成衣服飾,專業成衣代工廠，產品以運動、休閒服飾為主，布局全球生產基地。,http://www.tainan.com.tw/,2026-05-10
1474.TW,弘裕,基礎材料,紡織纖維,台灣工業布料與醫療用布大廠，亦開發環保再生面料。,http://www.textile.com.tw/,2026-05-10
1475.TW,業旺,基礎材料,紡織纖維,專精於針織布料開發與生產，供應國際知名運動品牌。,http://www.yawon.com.tw/,2026-05-10
1476.TW,儒鴻,非必需消費,紡織指標,台灣機能衣股王，垂直整合織布與成衣，具備強大研發議價能力。,https://www.eclat.com.tw/,2026-05-10
1477.TW,聚陽,非必需消費,成衣服飾,全球成衣代工龍頭，以快時尚與運動服飾為核心，產能布局多元。,https://www.makalot.com.tw/,2026-05-10
1503.TW,士電,工業製造,重電設備,跨足重電、電裝品與自動化，受惠於台電強韌電網計畫。,https://www.seec.com.tw/,2026-05-10
1504.TW,東元,工業製造,重電/馬達,全球馬達大廠，積極發展電動車動力系統與能源管理。,https://www.teco.com.tw/,2026-05-10
1506.TW,正道,汽車相關,引擎零件,專業生產活塞、連桿等引擎關鍵零件，供應國內外車廠。,http://www.rightway.com.tw/,2026-05-10
1512.TW,瑞利,汽車相關,車身零件,專業汽車鈑金模具與零件廠，主要客戶包含國內外各大車系。,http://www.realee.com/,2026-05-10
1513.TW,中興電,工業製造,重電/氫能,台灣 GIS (氣體絕緣開關) 龍頭，積極佈局氫能發電與充電樁。,https://www.chem.com.tw/,2026-05-10
1514.TW,亞力,工業製造,重電設備,專精變壓器與配電盤，受惠於半導體廠擴廠需求與軌道電力系統。,https://www.allis.com.tw/,2026-05-10
1515.TW,力山,工業製造,健身器材,全球木工機與電動健身器材（如飛輪、跑步機）代工大廠。,https://www.rexton.com.tw/,2026-05-10
1516.TW,川飛,基礎材料,能源貿易,原為自行車零件廠，現轉型經營煤炭與能源物料貿易業務。,http://www.chuanfih.com.tw/,2026-05-10
1517.TW,利奇,非必需消費,自行車零件,專業生產自行車煞車系統與零組件，受惠於中高階車市需求。,http://www.leechi.com.tw/,2026-05-10
1519.TW,華城,工業製造,重電/變壓器,台灣變壓器外銷龍頭，深度參與美國電網更新與電動車充電站。,https://www.fortune.com.tw/,2026-05-10
1521.TW,大億,汽車相關,汽車燈具,台灣 OEM 汽車燈具龍頭，主要供應國內外原廠車燈。,http://www.tayih.com.tw/,2026-05-10
1522.TW,堤維西,汽車相關,售後維修(AM),全球大型 AM 車燈供應商，主要市場為歐美維修件市場。,https://www.tyceurope.com/,2026-05-10
1524.TW,耿鼎,汽車相關,售後維修(AM),專業汽車鈑金件廠，深耕北美 AM 市場，獲 CAPA 認證。,http://www.gordon.com.tw/,2026-05-10
1525.TW,江申,汽車相關,底盤零件,裕隆集團旗下，生產車架、大樑等重型車輛底盤零件。,http://www.kian-shen.com.tw/,2026-05-10
1526.TW,日馳,非必需消費,自行車零件,專業自行車變速系統、齒輪與傳動組件生產商。,http://www.sunrace.com/,2026-05-10
1527.TW,鑽全,工業製造,氣動工具,全球氣動釘槍代工龍頭，產品主要應用於建築與裝潢。,http://www.baso.com.tw/,2026-05-10
1528.TW,恩德,工業製造,工具機,跨足木工機械、數控工具機及自動化生產線開發。,https://www.anderson.com.tw/,2026-05-10
1529.TW,樂事綠能,工業製造,重電/綠能,專業配電設備廠，轉型發展太陽能電廠與綠能開發業務。,http://www.luxesolar.com.tw/,2026-05-10
1530.TW,亞崴,工業製造,工具機,專業 CNC 加工中心機大廠，產品外銷全球製造業。,https://www.awea.com/,2026-05-10
1531.TW,高林股,工業製造,工業縫紉機,以「希魯巴 (SiRUBA)」品牌聞名，為全球工業用縫紉機大廠。,http://www.siruba.com/,2026-05-10
1532.TW,勤美,工業製造,金屬鑄造,跨足鑄件製造、住宅開發（建商）與生活通路（誠品綠園道）。,https://www.cmmi.com.tw/,2026-05-10
1533.TW,車王電,汽車相關,車用電子,專業發電機調節器與點火系統，並投入電動巴士開發。,https://www.mobiletron.com/,2026-05-10
1535.TW,中宇,服務業,工程承包,中鋼集團旗下，負責環保工程、機電維護與水處理系統。,https://www.ecopro.com.tw/,2026-05-10
1536.TW,和大,汽車相關,傳動齒輪,台灣電動車傳動系統龍頭，為 Tesla 等車廠之關鍵供應商。,http://www.hota.com.tw/,2026-05-10
1537.TW,廣隆,工業製造,鉛酸電池,專業鉛酸蓄電池生產商，主要應用於不斷電系統 (UPS) 與汽機車。,http://www.kunglong.com/,2026-05-10
1538.TW,正峰,工業製造,電動工具,生產電動園林工具、水泵與相關機電產品，供應歐美市場。,http://www.zhenfeng.com.tw/,2026-05-10
1539.TW,巨庭,工業製造,木工機械,專業生產圓鋸機、刨木機等木工工具，具備 ODM 能力。,http://www.geetech.com.tw/,2026-05-10
1540.TW,喬福,工業製造,工具機,生產大型 CNC 車床與切削中心機，具備客製化研發能力。,http://www.shofuh.com.tw/,2026-05-10
1541.TW,錩泰,工業製造,木工機械,專注於專業與家用木工電動工具，主要銷往北美與歐洲。,http://www.rexon.net/,2026-05-10
1558.TW,伸興,工業製造,縫紉機代工,全球家用縫紉機代工龍頭，市佔率極高，經營與配息穩定。,https://www.zenghsing.com.tw/,2026-05-10
1560.TW,中砂,科技材料,半導體耗材,研發鑽石碟與再生晶圓，為台積電等先進製程之重要夥伴。,https://www.kinik.com.tw/,2026-05-10
1563.TW,巧新,汽車相關,鍛造輪圈,全球高端超跑與豪華車款之鍛造輪圈首選供應商。,http://www.superalloy.com.tw/,2026-05-10
1565.TWO,精華,醫療保健,隱形眼鏡,台灣隱形眼鏡代工與自有品牌龍頭，具備高度製程自動化。,http://www.stshine.com.tw/,2026-05-10
1568.TW,倉佑,汽車相關,自動變速箱,專注於自動變速箱零組件開發，供應歐美與中國車廠。,http://www.tsangyow.com.tw/,2026-05-10
1569.TWO,濱川,科技電子,電腦機殼,專業筆記型電腦金屬機殼與內構件大廠。,http://www.abc-jp.com.tw/,2026-05-10
1570.TWO,力肯,工業製造,氣動工具,專業氣動打釘機代工廠，產品外銷歐美修繕與建築市場。,http://www.pro-pneu.com/,2026-05-10
1580.TWO,新麥,非必需消費,食品機械,全球烘焙設備龍頭，提供烤箱、攪拌機等全方位烘焙系統解決方案。,http://www.sinmag.com/,2026-05-10
1582.TW,信錦,科技電子,電子組件,全球顯示器支架與軸承龍頭，跨足低軌衛星與摺疊裝置組件。,http://www.shink.com.tw/,2026-05-10
1583.TW,程泰,工業製造,工具機,台灣 CNC 車床領先廠商，具備高度垂直整合能力與自有品牌。,http://www.goodwaycnc.com/,2026-05-10
1584.TWO,精剛,基礎材料,特殊合金,專業生產鈦合金、鎳基合金等特殊金屬，應用於航太、國防及油氣。,https://www.s-m-c.com.tw/,2026-05-10
1586.TWO,和勤,汽車相關,精密零件,專業硬碟機構件與汽車精密沖壓件大廠，積極佈局電動車市場。,http://www.h-p-m.com.cn/,2026-05-10
1587.TW,吉茂,汽車相關,散熱系統,專業汽車散熱器（水箱）供應商，主要布局 AM 與 OES 市場。,http://www.cryomax.com/,2026-05-10
1589.TW,永冠-KY,工業製造,金屬鑄造,專業大型球狀石墨鑄鐵件大廠，主攻風力發電與大型工具機市場。,http://www.ygget.com/,2026-05-10
1590.TW,亞德客-KY,工業製造,氣動元件,全球氣動元件大廠，產品應用於自動化設備，具備高度獲利能力。,http://www.airtac.com/,2026-05-10
1591.TWO,駿吉-KY,工業製造,建築零件,專業氣動槍釘生產商，生產基地主要位於馬來西亞。,http://www.inmax.com.my/,2026-05-10
1593.TWO,祺驊,非必需消費,健身器材,專業健身器材關鍵零件（磁控、發電機）大廠，供應全球大品牌。,http://www.atech-motor.com/,2026-05-10
1595.TWO,川寶,科技電子,PCB設備,專業 PCB 自動曝光機廠，並透過併購跨足半導體封裝設備。,http://www.chuanpo.com/,2026-05-10
1597.TW,直得,工業製造,線性傳動,專業微型線性滑軌製造商，產品應用於生技、半導體與自動化。,https://www.chieftek.com/,2026-05-10
1598.TW,岱宇,非必需消費,健身器材,專業健身器材品牌經營與製造，產品涵蓋跑步機、橢圓機。,https://www.dyaco.com/,2026-05-10
1599.TWO,宏佳騰,非必需消費,機車製造,知名機車與沙灘車製造商，近年積極發展智慧電車與聯網系統。,https://www.aeonmotor.com.tw/,2026-05-10
1603.TW,華電,基礎材料,電器電纜,生產電力電纜與鋁導線，並跨足鋁窗與建築材料業務。,http://www.taiwan-electric.com.tw/,2026-05-10
1604.TW,聲寶,非必需消費,家用電器,台灣老牌家電龍頭，轉型經營品牌行銷與土地資產活化。,https://www.sampo.com.tw/,2026-05-10
1605.TW,華新,基礎材料,線纜/不鏽鋼,焦家核心企業，跨足不鏽鋼、電力線纜與鎳金屬，具備全球競爭力。,https://www.walsin.com/,2026-05-10
1608.TW,華榮,基礎材料,電器電纜,專業電力線纜與通信電纜製造商，受惠於公共工程與風電建置。,http://www.hwahung.com.tw/,2026-05-10
1609.TW,大亞,基礎材料,線纜/能源,專業電力電纜廠，轉型發展太陽能電廠與綠能儲能系統。,https://www.taya.com.tw/,2026-05-10
1611.TW,中電,基礎材料,照明設備,以「東亞照明」品牌聞名，為台灣傳統與 LED 照明設備龍頭。,http://www.chinaelectric.com.tw/,2026-05-10
1612.TW,宏泰,基礎材料,電器電纜,生產電力線纜與通訊線纜，產品廣泛應用於建築與工業工程。,http://www.hongtai.com.tw/,2026-05-10
1614.TW,三洋電,非必需消費,家用電器,以「SANLUX 台灣三洋」經營家電，具備穩定的國內市場佔有率。,https://www.sanlux.com.tw/,2026-05-10
1615.TW,大山,基礎材料,電器電纜,區域型電線電纜廠，專注於民生用電與小型工程市場。,http://www.tashan.com.tw/,2026-05-10
1616.TW,億泰,基礎材料,電器電纜,專業生產電線電纜與光纖，於台灣及中國均有生產據點。,http://www.evertop.com.tw/,2026-05-10
1617.TW,榮星,基礎材料,漆包線,專業漆包線大廠，產品應用於馬達、變壓器與電子組件。,http://www.jungshing.com.tw/,2026-05-10
